npi,last_or_org_name,first_name,entity_code,state,ruca,provider_type,medicare_participating,tot_hcpcs_codes,tot_beneficiaries,tot_services,tot_submitted_charge,tot_medicare_allowed,tot_medicare_payment,tot_medicare_standardized,bene_avg_age,bene_avg_risk_score,excluded_any,fraud_label
1013266550,Sword,Lauren,I,MO,1.0,Chiropractic,Y,2,22,113.0,3617.39,3089.13,1791.05,2069.4,75,0.8698,1,1
1033111000,Jenkins,Oliver,I,GA,4.0,Otolaryngology,Y,28,98,475.0,78924.13,24417.25,15368.43,16571.77,74,1.5663,1,1
1033136569,Musselman,Carrie,I,IL,7.1,Chiropractic,Y,2,36,571.0,33102.0,21773.66,14980.25,15568.74,73,0.6293,1,1
1033161120,Bruggeman,Jerry,I,MO,1.0,Family Practice,Y,11,370,684.0,113460.7,69882.49,51250.41,54477.2,82,2.012,1,1
1033223037,Contreras,Victor,I,CA,2.0,Family Practice,Y,6,20,166.0,7510.0,5529.57,3413.49,3237.91,74,0.9586,1,1
1033422357,Izquierdo-Malon,Romel,I,MO,1.0,Internal Medicine,Y,6,299,835.0,285659.0,77597.83,61113.11,61928.31,71,3.8338,1,1
1053454009,Heroman,James,I,NC,1.0,Ophthalmology,Y,33,684,5967.0,1265985.0,760371.5,576791.86,588702.4,77,1.2815,1,1
1083680003,Mittal,Niranjan,I,NY,1.0,Cardiology,Y,30,433,1625.0,611100.0,255632.02,193721.93,163166.08,74,1.3003,1,1
1093023145,Cox,Brendon,I,UT,1.0,Occupational Therapist in Private Practice,Y,5,15,238.0,13338.16,6648.26,5156.28,5358.14,71,2.1569,1,1
1104210582,Effiong,Utibe,I,MI,4.0,Internal Medicine,Y,28,34,160.0,37332.0,15231.45,12452.7,12881.38,68,0.8728,1,1
1104968684,Seymour,Elizabeth,I,TX,2.0,Family Practice,Y,66,269,3988.0,215514.25,139466.63,104354.82,110164.82,71,1.2107,1,1
1144603721,Delva,Marislene,I,MI,1.0,Physician Assistant,Y,16,172,2079.0,225140.0,165387.06,125535.76,128061.67,64,2.1369,1,1
1154432094,Webster,Thomas,I,WA,1.0,Diagnostic Radiology,Y,5,6876,8930.0,1752585.0,540828.15,408260.75,524393.59,73,1.7156,1,1
1184685281,Barrientos,Domingo,I,CA,1.0,Internal Medicine,Y,8,36,215.0,45005.0,26195.02,20716.28,18765.66,74,1.2497,1,1
1194723601,Rentrop,Klaus,I,NY,1.0,Cardiology,Y,24,269,6067.0,1843355.97,677187.94,535887.12,531265.26,73,1.515,1,1
1194778852,Hanflink,Nathan,I,FL,1.0,Interventional Pain Management,Y,14,435,5192.0,779720.0,463844.98,343247.48,352158.78,70,1.7608,1,1
1194871277,Muniz Molinero,Carlos,I,PR,1.0,Internal Medicine,Y,2,44,116.0,6510.61,6416.32,4609.57,4621.55,81,2.2005,1,1
1205800257,Chand,Sunil,I,MO,4.0,Internal Medicine,Y,13,35,64.0,8723.0,5258.83,4073.72,4201.8,70,1.8813,1,1
1235142894,Watson,Henry,I,CA,1.0,Internal Medicine,Y,13,334,3022.0,641171.0,434695.39,316623.79,266999.23,65,1.605,1,1
1235146002,Aslam,Naveed,I,MI,1.0,Hematology-Oncology,Y,32,192,15854.0,315474.06,185862.4,142227.91,143068.78,74,1.352,1,1
1235186255,Pasacreta,Jeannie,I,CT,1.0,Certified Clinical Nurse Specialist,Y,6,23,417.0,74179.0,54498.08,42701.78,40745.48,64,1.4274,1,1
1235271214,Spoolman,Steve,I,MN,1.0,Physical Therapist in Private Practice,Y,5,12,598.0,43275.0,15025.64,11531.05,11559.87,75,1.5571,1,1
1235576398,"Labtox, Llc",,O,KY,1.0,Clinical Laboratory,Y,7,49,502.0,171684.75,56000.73,56000.73,56000.92,50,1.2682,1,1
1255665261,Laboratorio Clinico San Juan Inc,,O,PR,1.0,Clinical Laboratory,Y,55,14,226.0,2497.58,2308.58,2308.58,2499.09,76,1.2282,1,1
